action,source,destination,reason,kept_instead
COPIED,9a Duplicates/FLV/Alex tells a manly jokeR-1.flv,Alex tells a manly jokeR-1.flv,,
COPIED,9a Duplicates/MP4 bad audio/Alex tells a sex jokeR.mp4,Alex tells a sex jokeR.mp4,,
COPIED,9a Duplicates/MP4 bad audio/Alex tells a tigger jokePG.mp4,Alex tells a tigger jokePG.mp4,,
COPIED,9a Duplicates/FLV/Alex tells a tigger jokePG-1.flv,Alex tells a tigger jokePG-1.flv,,
COPIED,1j Too Ethnic/Alex tells an ethnic jokeR.wmv,Alex tells an ethnic jokeR.wmv,,
COPIED,9a Duplicates/FLV/Alex tells an ethnic jokeR-1.flv,Alex tells an ethnic jokeR-1.flv,,
COPIED,1j Too Ethnic/Alex tells an ethnic jokeX.wmv,Alex tells an ethnic jokeX.wmv,,
COPIED,9a Duplicates/FLV/Alex tells an health insurance joke.flv,Alex tells an health insurance joke.flv,,
COPIED,9a Duplicates/FLV/Alex tells an health insurance joke LONG.mp4,Alex tells an health insurance joke LONG.mp4,,
COPIED,1j Too Ethnic/Alex tells black joke.mov,Alex tells black joke.mov,,
COPIED,1g Kids/Alex tells blonde joke.mov,Alex tells blonde joke.mov,,
COPIED,9a Duplicates/FLV/Alex tells some jokesPG.flv,Alex tells some jokesPG.flv,,
COPIED,9a Duplicates/FLV/Alex tells some jokesPG-1.flv,Alex tells some jokesPG-1.flv,,
COPIED,1j Too Ethnic/Alex2 tells an ethnic jokeX.wmv,Alex2 tells an ethnic jokeX.wmv,,
COPIED,1g Kids/Alfia tells knock knock joke 2.mp4,Alfia tells knock knock joke 2.mp4,,
COPIED,1j Too Ethnic/Removed from Live/alfredo copy.mov,alfredo copy.mov,,
COPIED,1g Kids/ali_horsejokePG.wmv,ali_horsejokePG.wmv,,
COPIED,9a Duplicates/FLV/ali_horsejokePG-1.flv,ali_horsejokePG-1.flv,,
COPIED,1g Kids/Alice tells m and m joke.mov,Alice tells m and m joke.mov,,
COPIED,9a Duplicates/FLV/alicia copy.flv,alicia copy.flv,,
COPIED,1j Too Ethnic/Removed from Live/Alicia tells a Michael Jackson jokeR.wmv,Alicia tells a Michael Jackson jokeR.wmv,,
COPIED,9a Duplicates/FLV/Alicia tells a Michael Jackson jokeR-1.flv,Alicia tells a Michael Jackson jokeR-1.flv,,
COPIED,1j Too Ethnic/Alicia tells an ethnic jokeX.wmv,Alicia tells an ethnic jokeX.wmv,,
COPIED,1j Too Ethnic/Alison tells an ethnic joke13.wmv,Alison tells an ethnic joke13.wmv,,
COPIED,9a Duplicates/MP4 bad audio/all night cock.mp4,all night cock.mp4,,
COPIED,9a Duplicates/FLV/all right now copy.flv,all right now copy.flv,,
COPIED,1j Too Ethnic/Removed from Live/allan h copy.mov,allan h copy.mov,,
COPIED,9a Duplicates/FLV/Allana tells blonde joke 4.flv,Allana tells blonde joke 4.flv,,
COPIED,9a Duplicates/FLV/allen rosenberg copy.flv,allen rosenberg copy.flv,,
COPIED,1d Too Dirty/allen tells a tampon joke.mp4,allen tells a tampon joke.mp4,,
COPIED,"1j Too Ethnic/Removed from Live/allison, britney, samantha gay horse.mov","allison, britney, samantha gay horse.mov",,
COPIED,9a Duplicates/MP4 bad audio/Alton tells a butcher jokePG.mp4,Alton tells a butcher jokePG.mp4,,
COPIED,9a Duplicates/MP4 bad audio/Aly tells a stevie wonder jokePG.mp4,Aly tells a stevie wonder jokePG.mp4,,
COPIED,9a Duplicates/FLV/Alysa tells priest joke 5.flv,Alysa tells priest joke 5.flv,,
COPIED,9a Duplicates/FLV/Alyssa tells buffalo joke 4.flv,Alyssa tells buffalo joke 4.flv,,
COPIED,1j Too Ethnic/Removed from Live/amanda copy.mov,amanda copy.mov,,
COPIED,1j Too Ethnic/Removed from Live/amanda tells a corny joke.mp4,amanda tells a corny joke.mp4,,
COPIED,9a Duplicates/FLV/Amanda tells turkey joke.flv,Amanda tells turkey joke.flv,,
COPIED,9a Duplicates/FLV/amy  copy.flv,amy  copy.flv,,
COPIED,9a Duplicates/FLV/amy copy.flv,amy copy.flv,,
COPIED,9a Duplicates/FLV/Amy tells tickle test joke.flv,Amy tells tickle test joke.flv,,
COPIED,9a Duplicates/MP4 bad audio/anal and oral copy.mp4,anal and oral copy.mp4,,
COPIED,9a Duplicates/FLV/Andraadge tells deer nuts joke 4.flv,Andraadge tells deer nuts joke 4.flv,,
COPIED,1j Too Ethnic/Andre tells an ethnic joke13.wmv,Andre tells an ethnic joke13.wmv,,
COPIED,1j Too Ethnic/Removed from Live/andrea arnold.mov,andrea arnold.mov,,
COPIED,9a Duplicates/FLV/andrea arnold copy.flv,andrea arnold copy.flv,,
COPIED,9a Duplicates/FLV/andrea copy.flv,andrea copy.flv,,
COPIED,9a Duplicates/FLV/Andrea tells dog joke 4.flv,Andrea tells dog joke 4.flv,,
COPIED,1j Too Ethnic/Andrea tells ethnic joke 4.mov,Andrea tells ethnic joke 4.mov,,
COPIED,9a Duplicates/FLV/Andrea tells ethnic joke 4-1.flv,Andrea tells ethnic joke 4-1.flv,,
COPIED,1e Edit/Andrea tells fish joke.wmv,Andrea tells fish joke.wmv,,
COPIED,9a Duplicates/Andrea tells mickey mouse joke 3.wmv,Andrea tells mickey mouse joke 3.wmv,,
COPIED,9a Duplicates/MP4 bad audio/Andrew tells a cheerleader jokeR.mp4,Andrew tells a cheerleader jokeR.mp4,,
COPIED,1j Too Ethnic/Removed from Live/Andrew tells a restroom jokeR.mp4,Andrew tells a restroom jokeR.mp4,,
COPIED,1g Kids/Andrew tells blonde joke.mov,Andrew tells blonde joke.mov,,
COPIED,1g Kids/Andria tells knock knock joke.mov,Andria tells knock knock joke.mov,,
COPIED,9a Duplicates/FLV/Andria tells muffin joke 3.flv,Andria tells muffin joke 3.flv,,
COPIED,1j Too Ethnic/andy copy.mov,andy copy.mov,,
COPIED,9a Duplicates/FLV/Aneeb tells monkey joke.flv,Aneeb tells monkey joke.flv,,
COPIED,1c Not Funny Enough/anette copy.mp4,anette copy.mp4,,
COPIED,9a Duplicates/MP4 bad audio/Angel tells a snake joke 3.mp4,Angel tells a snake joke 3.mp4,,
COPIED,9a Duplicates/FLV/Angel tells bar joke.flv,Angel tells bar joke.flv,,
COPIED,9a Duplicates/FLV/angela copy.flv,angela copy.flv,,
COPIED,1j Too Ethnic/Angela tells a chinese joke 3.mov,Angela tells a chinese joke 3.mov,,
COPIED,1j Too Ethnic/Angelo tells Harlem joke.mov,Angelo tells Harlem joke.mov,,
COPIED,9a Duplicates/FLV/Ann b tells poo joke.flv,Ann b tells poo joke.flv,,
COPIED,9a Duplicates/MP4 bad audio/Ann tells a food jokePG.mp4,Ann tells a food jokePG.mp4,,
COPIED,1j Too Ethnic/Removed from Live/ann tells lesbian joke 2.mov,ann tells lesbian joke 2.mov,,
COPIED,1j Too Ethnic/anna copy.mp4,anna copy.mp4,,
COPIED,9a Duplicates/FLV/anne copy.flv,anne copy.flv,,
COPIED,9a Duplicates/MP4 bad audio/Anni tells midget joke.mp4,Anni tells midget joke.mp4,,
COPIED,1j Too Ethnic/Removed from Live/annie 2 copy.mov,annie 2 copy.mov,,
COPIED,1j Too Ethnic/Removed from Live/annie copy.mov,annie copy.mov,,
COPIED,9a Duplicates/MP4 bad audio/AnnMarie and Lauren tell a blonde jokePG.mp4,AnnMarie and Lauren tell a blonde jokePG.mp4,,
COPIED,1b Long Jokes/Anonymous guy tells whorehouse joke email.mp4,Anonymous guy tells whorehouse joke email.mp4,,
COPIED,1j Too Ethnic/Removed from Live/another mouse joke copy.mov,another mouse joke copy.mov,,
COPIED,1j Too Ethnic/Removed from Live/ant copy.mov,ant copy.mov,,
COPIED,9a Duplicates/FLV/anthony ezzo copy.flv,anthony ezzo copy.flv,,
COPIED,1c Not Funny Enough/Anthony tells an ethic jokeR.wmv,Anthony tells an ethic jokeR.wmv,,
COPIED,1j Too Ethnic/Removed from Live/Anthony tells an ethnic jokeR.wmv,Anthony tells an ethnic jokeR.wmv,,
COPIED,9a Duplicates/FLV/Anthony tells christmas tree joke.flv,Anthony tells christmas tree joke.flv,,
COPIED,9a Duplicates/FLV/anthony tells dead wife joke.flv,anthony tells dead wife joke.flv,,
COPIED,9a Duplicates/FLV/Anthony tells wife joke.flv,Anthony tells wife joke.flv,,
COPIED,1j Too Ethnic/Anton tells an ethnic jokeR.wmv,Anton tells an ethnic jokeR.wmv,,
COPIED,1j Too Ethnic/Removed from Live/April tells name joke.mp4,April tells name joke.mp4,,
COPIED,8 Misc/2016/Are You Smarter Than A Flat-Earther 45 Second Quiz 1.mp4,Are You Smarter Than A Flat-Earther 45 Second Quiz 1.mp4,,
COPIED,8 Misc/2016/Are You Smarter Than A Flat-Earther 45 Second Quiz 2.mp4,Are You Smarter Than A Flat-Earther 45 Second Quiz 2.mp4,,
COPIED,8 Misc/2016/Are You Smarter Than A FlatEarther Pop Quiz 1-hd.mp4,Are You Smarter Than A FlatEarther Pop Quiz 1-hd.mp4,,
COPIED,8 Misc/2016/Are You Smarter Than A FlatEarther Pop Quiz 1-hd (1).mp4,Are You Smarter Than A FlatEarther Pop Quiz 1-hd (1).mp4,,
COPIED,1j Too Ethnic/Ariel tells an ethnic jokeR.wmv,Ariel tells an ethnic jokeR.wmv,,
COPIED,9a Duplicates/MP4 bad audio/Ariella phillips with a blonde joke 2.mp4,Ariella phillips with a blonde joke 2.mp4,,
COPIED,1j Too Ethnic/Removed from Live/arlene copy.mov,arlene copy.mov,,
COPIED,9a Duplicates/MP4 bad audio/Army St Gilns tells Navy joke.mp4,Army St Gilns tells Navy joke.mp4,,
COPIED,1j Too Ethnic/Removed from Live/arnld s copy.mov,arnld s copy.mov,,
COPIED,9a Duplicates/FLV/arod  copy.flv,arod  copy.flv,,
COPIED,9a Duplicates/FLV/arod 2 copy.flv,arod 2 copy.flv,,
COPIED,9a Duplicates/FLV/Aron tells test tube joke 3.flv,Aron tells test tube joke 3.flv,,
COPIED,9a Duplicates/FLV/Arron tells a baby joke.flv,Arron tells a baby joke.flv,,
COPIED,9a Duplicates/FLV/ashely tells an orange joke.flv,ashely tells an orange joke.flv,,
COPIED,9a Duplicates/FLV/Ashley tells a bee joke.flv,Ashley tells a bee joke.flv,,
COPIED,9a Duplicates/MP4 bad audio/ashley tells a michael jackson joke.mp4,ashley tells a michael jackson joke.mp4,,
COPIED,1i Fails/Ashley tells an orange joke.mp4,Ashley tells an orange joke.mp4,,
COPIED,9a Duplicates/FLV/Ashley tells blonde joke 3.flv,Ashley tells blonde joke 3.flv,,
COPIED,1j Too Ethnic/Removed from Live/Ashley tells ethnic jokes 3.mov,Ashley tells ethnic jokes 3.mov,,
COPIED,1e Edit/ashton copy.mov,ashton copy.mov,,
COPIED,9a Duplicates/FLV/assfax copy.flv,assfax copy.flv,,
COPIED,9a Duplicates/FLV/athiest joke copy.flv,athiest joke copy.flv,,
COPIED,9a Duplicates/MP4 bad audio/Aubrey and kristie tell chicken jokes 5.mp4,Aubrey and kristie tell chicken jokes 5.mp4,,
COPIED,1g Kids/austin bordy copy.mp4,austin bordy copy.mp4,,
COPIED,1g Kids/Ava tells 2 jokesPG.mp4,Ava tells 2 jokesPG.mp4,,
COPIED,1g Kids/Ava tells 2 more jokes againPG.mp4,Ava tells 2 more jokes againPG.mp4,,
COPIED,1g Kids/Ava tells 2 more jokesPG.mp4,Ava tells 2 more jokesPG.mp4,,
COPIED,9a Duplicates/MP4 bad audio/Azao tells a mouse jokeR.mp4,Azao tells a mouse jokeR.mp4,,
COPIED,9a Duplicates/FLV/b 2 copy.flv,b 2 copy.flv,,
COPIED,9a Duplicates/FLV/b copy.flv,b copy.flv,,
COPIED,1c Not Funny Enough/baby joke copy.mov,baby joke copy.mov,,
COPIED,9a Duplicates/FLV/baby nails copy.flv,baby nails copy.flv,,
COPIED,1c Not Funny Enough/baby shingles copy.mp4,baby shingles copy.mp4,,
COPIED,1j Too Ethnic/bad priest copy.mov,bad priest copy.mov,,
COPIED,9a Duplicates/FLV/bad priest copy-1.flv,bad priest copy-1.flv,,
COPIED,1d Too Dirty/bald pussy copy.mov,bald pussy copy.mov,,
COPIED,9a Duplicates/FLV/bald pussy copy-1.flv,bald pussy copy-1.flv,,
COPIED,9a Duplicates/MP4 bad audio/balls from boston copy.mp4,balls from boston copy.mp4,,
COPIED,9a Duplicates/FLV/bar joke copy.flv,bar joke copy.flv,,
COPIED,9a Duplicates/FLV/Barbara tells a mad cow jokePG.flv,Barbara tells a mad cow jokePG.flv,,
COPIED,9a Duplicates/FLV/Barbara tells a Santa jokePG.flv,Barbara tells a Santa jokePG.flv,,
COPIED,9a Duplicates/FLV/Barbara Tells a tomato joke.flv,Barbara Tells a tomato joke.flv,,
COPIED,9a Duplicates/FLV/barbie joke copy.flv,barbie joke copy.flv,,
COPIED,4 Background Trailers Etc/bareass al copy.mov,bareass al copy.mov,,
COPIED,9a Duplicates/baseball fans copy.mp4,baseball fans copy.mp4,,
COPIED,9a Duplicates/bb 2 copy.mp4,bb 2 copy.mp4,,
COPIED,9a Duplicates/bb 4 copy.mp4,bb 4 copy.mp4,,
COPIED,9a Duplicates/bb copy.mp4,bb copy.mp4,,
COPIED,9a Duplicates/bb2 copy.mp4,bb2 copy.mp4,,
COPIED,9a Duplicates/MP4 bad audio/bear and rabbit copy.mp4,bear and rabbit copy.mp4,,
COPIED,1g Kids/ben.mov,ben.mov,,
COPIED,9a Duplicates/MP4 bad audio/Ben tells a wnba jokePG.mp4,Ben tells a wnba jokePG.mp4,,
COPIED,9a Duplicates/FLV/Ben tells cow joke 3.flv,Ben tells cow joke 3.flv,,
COPIED,9a Duplicates/FLV/Ben tells tomato joke 3.flv,Ben tells tomato joke 3.flv,,
COPIED,9a Duplicates/FLV/Ben tells tomayoe joke 3.flv,Ben tells tomayoe joke 3.flv,,
COPIED,9a Duplicates/FLV/Ben tells two jokes 2.flv,Ben tells two jokes 2.flv,,
COPIED,1c Not Funny Enough/Benjamin tells some funky jokes 4.wmv,Benjamin tells some funky jokes 4.wmv,,
COPIED,1j Too Ethnic/Bernie tells an ethnic jokeR.wmv,Bernie tells an ethnic jokeR.wmv,,
COPIED,9a Duplicates/FLV/beth and joanna 2 copy.flv,beth and joanna 2 copy.flv,,
COPIED,9a Duplicates/FLV/beth and joanna totlyy screw up copy.flv,beth and joanna totlyy screw up copy.flv,,
COPIED,9a Duplicates/FLV/beth copy.flv,beth copy.flv,,
COPIED,1g Kids/Bianca tells ghost joke.mov,Bianca tells ghost joke.mov,,
COPIED,1e Edit/big dick mcghee copy.mov,big dick mcghee copy.mov,,
COPIED,9a Duplicates/FLV/big dick shannon copy.flv,big dick shannon copy.flv,,
COPIED,9a Duplicates/big sean copy.mp4,big sean copy.mp4,,
COPIED,9a Duplicates/Big Willy Style tells tampon joke.wmv,Big Willy Style tells tampon joke.wmv,,
COPIED,1g Kids/biggest pen copy.mov,biggest pen copy.mov,,
COPIED,9a Duplicates/bigwheel copy.mp4,bigwheel copy.mp4,,
COPIED,9a Duplicates/MP4 bad audio/Bill frost tells indian joke.mp4,Bill frost tells indian joke.mp4,,
COPIED,9a Duplicates/FLV/Bill Sayers tells a pirate joke.flv,Bill Sayers tells a pirate joke.flv,,
COPIED,9a Duplicates/FLV/Bill Sayers tells buckeneer joke.flv,Bill Sayers tells buckeneer joke.flv,,
COPIED,9a Duplicates/MP4 bad audio/Bill tells an ethnic joke13.mp4,Bill tells an ethnic joke13.mp4,,
COPIED,9a Duplicates/FLV/Bill tells joke about guy with no legs.flv,Bill tells joke about guy with no legs.flv,,
COPIED,9a Duplicates/MP4 bad audio/Bill tells roses joke.mp4,Bill tells roses joke.mp4,,
COPIED,1e Edit/billy batz copy.mp4,billy batz copy.mp4,,
COPIED,9a Duplicates/Billy tells 2 jokes.mp4,Billy tells 2 jokes.mp4,,
